source_tiles=Sewer_1_tiles.png
horizon_line=6
menu_line=16
scale=1
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
91,91,22,91,91,91,22,91,91,91,22,91,91,91,22,91,91,91,22,91,91,91,22,91,91
93,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,93
84,47,86,87,88,47,47,47,47,47,47,86,87,88,47,47,47,47,47,47,86,87,88,47,85
109,105,101,102,103,105,105,105,105,105,105,101,102,103,105,105,105,105,105,105,101,102,103,105,108
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
126,126,126,126,126,126,126,126,126,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118
126,126,126,126,126,126,126,126,126,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118
126,126,126,126,126,126,126,126,126,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118
126,126,126,126,126,126,126,126,126,126,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118
126,126,126,126,126,126,126,126,126,126,126,126,126,126,118,118,118,118,118,118,118,118,118,118,118
126,126,126,126,126,126,126,126,126,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118
